date;Charging Station;Duration (min);Total Energy (kWh);Nº cartão EVIO;Plus;Temp
2023-03-09;CAP_SON_MAI_00002;28.267;34.96;29;0.2;14.0
2023-03-10;CAP_SON_MAI_00004;211.1;12.55;50;0.0;14.0
2023-03-10;CAP_SON_MAI_00001;572.55;7.98;55;0.0;14.0
2023-03-10;CAP_SON_MAI_00010;0.083;0.0;50;0.0;14.0
2023-03-10;CAP_SON_MAI_00010;326.783;11.71;76;0.0;14.0
2023-03-10;CAP_SON_MAI_00004;161.967;27.92;144;0.0;14.0
2023-03-10;CAP_SON_MAI_00010;0.117;0.0;76;0.0;14.0
2023-03-10;CAP_SON_MAI_00004;176.733;9.97;4;0.0;14.0
2023-03-13;CAP_SON_MAI_00002;63.7;61.02;-;0.1;13.5
2023-03-13;CAP_SON_MAI_00004;187.3;10.69;35;0.1;13.5
2023-03-13;CAP_SON_MAI_00001;621.867;12.79;51;0.1;13.5
2023-03-14;CAP_SON_MAI_00004;130.55;7.19;76;0.0;13.0
2023-03-14;CAP_SON_MAI_00001;3.983;0.31;55;0.0;13.0
2023-03-14;CAP_SON_MAI_00010;307.767;7.85;29;0.0;13.0
2023-03-14;CAP_SON_MAI_00010;265.967;47.46;55;0.0;13.0
2023-03-14;CAP_SON_MAI_00004;161.15;9.7;4;0.0;13.0
2023-03-15;CAP_SON_MAI_00004;193.667;11.3;76;0.0;13.0
2023-03-15;CAP_SON_MAI_00001;222.817;12.48;50;0.0;13.0
2023-03-15;CAP_SON_MAI_00001;371.467;23.8;29;0.0;13.0
2023-03-15;CAP_SON_MAI_00004;0.717;0.0;55;0.0;13.0
2023-03-15;CAP_SON_MAI_00010;373.033;0.0;55;0.0;13.0
2023-03-15;CAP_SON_MAI_00004;177.55;10.35;35;0.0;13.0
2023-03-15;CAP_SON_MAI_00004;43.65;5.19;55;0.0;13.0
2023-03-16;CAP_SON_MAI_00001;576.717;12.45;55;0.2;13.5
2023-03-16;CAP_SON_MAI_00001;310.967;10.04;4;0.2;13.5
2023-03-17;CAP_SON_MAI_00004;243.683;43.61;29;0.2;13.0
2023-03-17;CAP_SON_MAI_00004;183.267;10.53;35;0.2;13.0
2023-03-17;CAP_SON_MAI_00001;1.35;0.04;51;0.2;13.0
2023-03-17;CAP_SON_MAI_00001;550.95;8.86;51;0.2;13.0
2023-03-17;CAP_SON_MAI_00001;613.567;12.04;87;0.2;13.0
2023-03-17;CAP_SON_MAI_00004;92.517;15.51;144;0.2;13.0
2023-03-19;CAP_SON_MAI_00002;39.767;47.79;144;0.0;12.5
2023-03-20;CAP_SON_MAI_00010;309.467;10.73;46;0.0;13.5
2023-03-20;CAP_SON_MAI_00004;104.417;12.3;55;0.0;13.5
2023-03-20;CAP_SON_MAI_00002;53.783;51.23;144;0.0;13.5
2023-03-20;CAP_SON_MAI_00004;58.817;9.64;29;0.0;13.5
2023-03-20;CAP_SON_MAI_00004;207.717;11.98;76;0.0;13.5
2023-03-20;CAP_SON_MAI_00010;306.167;10.67;35;0.0;13.5
2023-03-20;CAP_SON_MAI_00002;10.033;7.4;144;0.0;13.5
2023-03-20;CAP_SON_MAI_00002;32.433;44.21;29;0.0;13.5
2023-03-20;CAP_SON_MAI_00001;599.383;12.33;51;0.0;13.5
2023-03-21;CAP_SON_MAI_00004;96.033;11.29;55;0.0;13.75
2023-03-21;CAP_SON_MAI_00004;81.133;9.72;46;0.0;13.75
2023-03-21;CAP_SON_MAI_00001;369.25;6.81;87;0.0;13.75
2023-03-22;CAP_SON_MAI_00001;275.817;11.84;87;0.0;12.75
2023-03-22;CAP_SON_MAI_00010;162.917;9.79;35;0.0;12.75
2023-03-22;CAP_SON_MAI_00001;296.8;11.52;76;0.0;12.75
2023-03-23;CAP_SON_MAI_00004;199.267;11.68;76;0.0;13.5
2023-03-23;CAP_SON_MAI_00004;104.35;12.29;55;0.0;13.5
2023-03-23;CAP_SON_MAI_00004;182.35;10.35;35;0.0;13.5
2023-03-23;CAP_SON_MAI_00004;242.65;44.01;144;0.0;13.5
2023-03-23;CAP_SON_MAI_00010;290.367;10.85;46;0.0;13.5
2023-03-23;CAP_SON_MAI_00001;559.0;12.83;51;0.0;13.5
2023-03-24;CAP_SON_MAI_00004;176.517;10.35;35;0.025;14.25
2023-03-24;CAP_SON_MAI_00010;299.183;10.84;46;0.025;14.25
2023-03-24;CAP_SON_MAI_00001;0.217;0.01;30;0.025;14.25
2023-03-24;CAP_SON_MAI_00004;154.983;8.82;76;0.025;14.25
2023-03-24;CAP_SON_MAI_00001;242.633;16.5;144;0.025;14.25
2023-03-24;CAP_SON_MAI_00004;86.567;10.39;55;0.025;14.25
2023-03-24;CAP_SON_MAI_00010;70.033;4.13;50;0.025;14.25
2023-03-25;CAP_SON_MAI_00002;51.767;49.48;144;0.0;12.75
2023-03-25;CAP_SON_MAI_00002;29.35;44.63;29;0.0;12.75
2023-03-25;CAP_SON_MAI_00002;8.15;3.65;29;0.0;12.75
2023-03-27;CAP_SON_MAI_00004;104.383;12.38;55;0.0;13.5
2023-03-27;CAP_SON_MAI_00002;53.317;47.71;144;0.0;13.5
2023-03-27;CAP_SON_MAI_00004;60.633;7.071;55;0.0;13.5
2023-03-27;CAP_SON_MAI_00004;182.05;10.58;4;0.0;13.5
2023-03-27;CAP_SON_MAI_00002;19.783;21.42;29;0.0;13.5
2023-03-28;CAP_SON_MAI_00004;141.9;8.08;35;0.0;16.0
2023-03-28;CAP_SON_MAI_00010;266.75;11.63;87;0.0;16.0
2023-03-28;CAP_SON_MAI_00001;206.967;10.41;-;0.0;16.0
2023-03-28;CAP_SON_MAI_00001;213.733;5.07;-;0.0;16.0
2023-03-28;CAP_SON_MAI_00010;307.717;4.69;87;0.0;16.0
2023-03-29;CAP_SON_MAI_00002;25.367;8.0;29;0.0;16.5
2023-03-29;CAP_SON_MAI_00004;251.567;46.07;29;0.0;16.5
2023-03-29;CAP_SON_MAI_00010;273.5;12.66;50;0.0;16.5
2023-03-29;CAP_SON_MAI_00001;111.117;12.6;0;0.0;16.5
2023-03-29;CAP_SON_MAI_00001;599.767;12.51;55;0.0;16.5
2023-03-29;CAP_SON_MAI_00010;253.433;10.82;76;0.0;16.5
2023-03-29;CAP_SON_MAI_00004;173.867;9.82;4;0.0;16.5
2023-03-29;CAP_SON_MAI_00004;26.017;4.61;144;0.0;16.5
2023-03-30;CAP_SON_MAI_00001;654.7;12.54;55;0.0;15.0
2023-03-30;CAP_SON_MAI_00010;313.95;11.98;87;0.0;15.0
2023-03-30;CAP_SON_MAI_00004;163.267;9.53;35;0.0;15.0
2023-03-30;CAP_SON_MAI_00010;300.117;9.68;-;0.0;15.0
2023-03-31;CAP_SON_MAI_00001;124.867;12.56;55;0.0;15.25
2023-03-31;CAP_SON_MAI_00010;288.5;48.17;0;0.0;15.25
2023-03-31;CAP_SON_MAI_00004;151.833;8.89;50;0.0;15.25
2023-03-31;CAP_SON_MAI_00010;533.05;12.13;1;0.0;15.25
2023-03-31;CAP_SON_MAI_00010;8.283;1.23;0;0.0;15.25
2023-03-31;CAP_SON_MAI_00004;105.35;12.26;0;0.0;15.25
2023-03-31;CAP_SON_MAI_00004;0.517;0.03;1;0.0;15.25
2023-03-31;CAP_SON_MAI_00004;174.467;14.8;1;0.0;15.25
2023-03-31;CAP_SON_MAI_00010;0.1;0.0;87;0.0;15.25
2023-04-02;CAP_SON_MAI_00002;12.717;24.29;144;0.0;12.75
2023-04-03;CAP_SON_MAI_00004;202.0;11.53;76;0.0;14.25
2023-04-03;CAP_SON_MAI_00010;298.967;43.8;0;0.0;14.25
2023-04-03;CAP_SON_MAI_00010;267.417;10.76;46;0.0;14.25
2023-04-03;CAP_SON_MAI_00001;593.833;12.51;55;0.0;14.25
2023-04-03;CAP_SON_MAI_00001;484.3;12.26;50;0.0;14.25
2023-04-03;CAP_SON_MAI_00004;0.433;0.0;-;0.0;14.25
2023-04-03;CAP_SON_MAI_00004;141.233;24.56;144;0.0;14.25
2023-04-03;CAP_SON_MAI_00004;50.133;5.92;1;0.0;14.25
2023-04-04;CAP_SON_MAI_00004;180.567;10.56;35;0.0;17.25
2023-04-04;CAP_SON_MAI_00010;240.133;11.81;-;0.0;17.25
2023-04-04;CAP_SON_MAI_00004;148.267;8.179;-;0.0;17.25
2023-04-05;CAP_SON_MAI_00010;295.833;12.48;50;0.0;16.25
2023-04-05;CAP_SON_MAI_00010;0.4;0.0;-;0.0;16.25
