Start date,Stop date,Duration (min),Total Energy (kWh),Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Last
2022-11-22 08:21:00,2022-11-22 13:33:00,"311,833",21.25,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,37.61
2022-11-21 08:42:00,2022-11-21 12:45:00,"243,1",44.19,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,21.25
2022-11-18 08:27:00,2022-11-18 12:01:00,"213,817",38.57,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,44.19
2022-11-15 17:50:00,2022-11-15 18:28:00,"37,95",7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,38.57
2022-11-14 08:26:00,2022-11-14 15:53:00,"446,683",45.04,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0
2022-11-10 08:15:00,2022-11-10 13:34:00,"318,933",21.77,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,45.04
2022-11-04 13:42:00,2022-11-04 18:49:00,"307,15",20.49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,21.77
2022-11-02 08:42:00,2022-11-02 15:59:00,"436,9",42.05,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,20.49
2022-10-28 09:44:00,2022-10-28 10:29:00,"45,783",34.8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42.05
2022-10-27 22:09:00,2022-10-27 22:23:00,"14,4",29.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34.8
2022-10-27 13:18:00,2022-10-27 14:21:00,"62,9",10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.74
2022-10-26 16:35:00,2022-10-26 17:14:00,"39,067",39.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0
2022-10-25 08:19:00,2022-10-25 14:09:00,"350,15",28.05,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,39.86
2022-10-23 09:10:00,2022-10-23 09:30:00,"20,167",34.56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.05
2022-10-21 08:44:00,2022-10-21 15:08:00,"383,867",41.41,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,34.56
