Start date,Duration (min),Total Energy (kWh),Power,Temp,Plus,Day of Week,Month,Season,Período Escolar
2023-01-10,185.367,32.55,10.535855896680639,12.25,0.0,2,1,1,2
2023-01-11,520.333,42.08,4.852277291657458,13.25,0.0,3,1,1,2
2023-01-12,0.0,0.0,0.0,0.0,0.0,4,1,1,2
2023-01-13,87.15,6.63,4.564543889845094,12.25,0.0,5,1,1,2
2023-01-14,0.0,0.0,0.0,0.0,0.0,6,1,1,2
2023-01-15,0.0,0.0,0.0,0.0,0.0,7,1,1,2
2023-01-16,0.0,0.0,0.0,0.0,0.0,1,1,1,2
2023-01-17,0.0,0.0,0.0,0.0,0.0,2,1,1,2
2023-01-18,0.0,0.0,0.0,0.0,0.0,3,1,1,2
2023-01-19,0.0,0.0,0.0,0.0,0.0,4,1,1,2
2023-01-20,0.0,0.0,0.0,0.0,0.0,5,1,1,2
2023-01-21,0.0,0.0,0.0,0.0,0.0,6,1,1,2
2023-01-22,0.0,0.0,0.0,0.0,0.0,7,1,1,2
2023-01-23,0.0,0.0,0.0,0.0,0.0,1,1,1,2
2023-01-24,468.267,55.51,7.112608832140637,7.75,0.0,2,1,1,2
2023-01-25,0.0,0.0,0.0,0.0,0.0,3,1,1,2
2023-01-26,0.0,0.0,0.0,0.0,0.0,4,1,1,2
2023-01-27,0.0,0.0,0.0,0.0,0.0,5,1,1,2
2023-01-28,0.0,0.0,0.0,0.0,0.0,6,1,1,2
2023-01-29,0.0,0.0,0.0,0.0,0.0,7,1,1,2
2023-01-30,178.533,31.92,10.727428542622373,7.5,0.0,1,1,1,2
2023-01-31,0.0,0.0,0.0,0.0,0.0,2,1,1,2
2023-02-01,232.767,41.44,10.681926561754889,9.0,0.0,3,2,1,2
2023-02-02,0.0,0.0,0.0,0.0,0.0,4,2,1,2
2023-02-03,143.1,23.82,9.9874213836478,10.5,0.0,5,2,1,2
2023-02-04,0.0,0.0,0.0,0.0,0.0,6,2,1,2
2023-02-05,0.0,0.0,0.0,0.0,0.0,7,2,1,2
2023-02-06,0.0,0.0,0.0,0.0,0.0,1,2,1,2
2023-02-07,0.0,0.0,0.0,0.0,0.0,2,2,1,2
2023-02-08,0.0,0.0,0.0,0.0,0.0,3,2,1,2
2023-02-09,0.0,0.0,0.0,0.0,0.0,4,2,1,2
2023-02-10,0.0,0.0,0.0,0.0,0.0,5,2,1,2
2023-02-11,0.0,0.0,0.0,0.0,0.0,6,2,1,2
2023-02-12,0.0,0.0,0.0,0.0,0.0,7,2,1,2
2023-02-13,268.833,46.69,10.420595685797503,13.0,0.0,1,2,1,2
2023-02-14,250.7,10.811,2.5873952931790987,13.75,0.0,2,2,1,2
2023-02-15,336.067,42.31,7.553850869023141,14.0,0.0,3,2,1,2
2023-02-16,0.0,0.0,0.0,0.0,0.0,4,2,1,2
2023-02-17,0.0,0.0,0.0,0.0,0.0,5,2,1,2
2023-02-18,0.0,0.0,0.0,0.0,0.0,6,2,1,2
2023-02-19,0.0,0.0,0.0,0.0,0.0,7,2,1,2
2023-02-20,0.0,0.0,0.0,0.0,0.0,1,2,1,2
2023-02-21,0.0,0.0,0.0,0.0,0.0,2,2,1,2
2023-02-22,0.0,0.0,0.0,0.0,0.0,3,2,1,2
2023-02-23,0.0,0.0,0.0,0.0,0.0,4,2,1,2
2023-02-24,0.0,0.0,0.0,0.0,0.0,5,2,1,2
2023-02-25,0.0,0.0,0.0,0.0,0.0,6,2,1,2
2023-02-26,0.0,0.0,0.0,0.0,0.0,7,2,1,2
2023-02-27,0.0,0.0,0.0,0.0,0.0,1,2,1,2
2023-02-28,47.867,48.04,60.21685085758456,8.75,0.0,2,2,1,2
2023-03-01,0.0,0.0,0.0,0.0,0.0,3,3,2,2
2023-03-02,0.0,0.0,0.0,0.0,0.0,4,3,2,2
2023-03-03,0.0,0.0,0.0,0.0,0.0,5,3,2,2
2023-03-04,0.0,0.0,0.0,0.0,0.0,6,3,2,2
2023-03-05,0.0,0.0,0.0,0.0,0.0,7,3,2,2
2023-03-06,0.0,0.0,0.0,0.0,0.0,1,3,2,2
2023-03-07,0.0,0.0,0.0,0.0,0.0,2,3,2,2
2023-03-08,47.533,35.95,45.37899985273389,14.25,0.1,3,3,2,2
2023-03-09,191.88299999999998,77.31,174.77477299531304,14.0,0.30000000000000004,4,3,2,2
2023-03-10,0.0,0.0,0.0,0.0,0.0,5,3,2,2
2023-03-11,0.0,0.0,0.0,0.0,0.0,6,3,2,2
2023-03-12,0.0,0.0,0.0,0.0,0.0,7,3,2,2
2023-03-13,0.0,0.0,0.0,0.0,0.0,1,3,2,2
2023-03-14,307.767,7.85,1.5303785006189745,13.0,0.0,2,3,2,2
2023-03-15,371.467,23.8,3.84421765594252,13.0,0.0,3,3,2,2
2023-03-16,0.0,0.0,0.0,0.0,0.0,4,3,2,2
2023-03-17,243.683,43.61,10.737720727338386,13.0,0.2,5,3,2,2
2023-03-18,0.0,0.0,0.0,0.0,0.0,6,3,2,2
2023-03-19,0.0,0.0,0.0,0.0,0.0,7,3,2,2
2023-03-20,91.25,53.85,91.62096028826068,13.5,0.0,1,3,2,2
2023-03-21,0.0,0.0,0.0,0.0,0.0,2,3,2,2
2023-03-22,0.0,0.0,0.0,0.0,0.0,3,3,2,2
2023-03-23,0.0,0.0,0.0,0.0,0.0,4,3,2,2
2023-03-24,0.0,0.0,0.0,0.0,0.0,5,3,2,2
